target.cycle,target.energy,target.edp,target.area,mapping.mapping,arch.pe,arch.mac,arch.meshX,arch.mem1_entries,arch.mem1_depth,arch.mem1_width,arch.mem1_instances,arch.mem1_word-bits,arch.mem1_network-word-bits,arch.mem1_n_rdwr_ports,arch.mem1_n_banks,arch.mem1_shared_bandwidth,arch.mem2_entries,arch.mem2_depth,arch.mem2_width,arch.mem2_instances,arch.mem2_meshX,arch.mem2_word-bits,arch.mem2_n_rdwr_ports,arch.mem2_n_banks,arch.mem2_shared_bandwidth,arch.name,prob.shape,prob.C,prob.Hdilation,prob.Hstride,prob.K,prob.N,prob.P,prob.Q,prob.R,prob.S,prob.Wdilation,prob.Wstride
39936,35.455403,1.415947,0.708209,L3[WIO] C8 K8 P8 - L2[WI] N1 K8X - L1[O] K2 C2 P16 C4X - L0[W] N1,256,1,16,512,512,32,16,32,16,2,2,2,131072,8192,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,128,1,128,1,1,1,1,1
90112,31.830506,2.868311,0.708209,L3[WIO] P16 C4 K2 - L2[WI] N1 - L1[O] K64 P8 C16X - L0[W] N1,256,1,16,512,512,32,16,32,16,2,2,2,131072,8192,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,128,1,128,1,1,1,1,1
72704,36.445687,2.649747,0.708209,L3[WIO] C8 K8 P4 - L2[WI] N1 K8X - L1[O] K2 C4 P32 C2X - L0[W] N1,256,1,16,512,512,32,16,32,16,2,2,2,131072,8192,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,128,1,128,1,1,1,1,1
262144,22.294892,5.844472,0.708209,L3[WIO] P2 K16 C8 - L2[WI] N1 K2X - L1[O] K4 C4 P64 C2X - L0[W] N1,256,1,16,512,512,32,16,32,16,2,2,2,131072,8192,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,128,1,128,1,1,1,1,1
262144,65.636224,17.20614,0.708209,L3[WIO] P64 K16 - L2[WI] N1 K4X - L1[O] K2 C64 P2 - L0[W] N1,256,1,16,512,512,32,16,32,16,2,2,2,131072,8192,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,128,1,128,1,1,1,1,1
262144,23.210381,6.084462,0.708209,L3[WIO] P16 K16 - L2[WI] N1 K4X - L1[O] K2 C64 P8 - L0[W] N1,256,1,16,512,512,32,16,32,16,2,2,2,131072,8192,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,128,1,128,1,1,1,1,1
134144,119.948785,16.09041,0.708209,L3[WIO] P128 K16 - L2[WI] N1 K4X - L1[O] K2 C32 C2X - L0[W] N1,256,1,16,512,512,32,16,32,16,2,2,2,131072,8192,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,128,1,128,1,1,1,1,1
33280,11.164845,0.371566,0.708209,L3[WIO] P2 C2 K8 - L2[WI] N1 K16X - L1[O] C16 P64 C2X - L0[W] N1,256,1,16,512,512,32,16,32,16,2,2,2,131072,8192,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,128,1,128,1,1,1,1,1
262144,122.204014,32.03505,0.708209,L3[WIO] P128 K16 - L2[WI] N1 K4X - L1[O] K2 C64 - L0[W] N1,256,1,16,512,512,32,16,32,16,2,2,2,131072,8192,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,128,1,128,1,1,1,1,1
1048576,72.572943,76.09825,0.708209,L3[WIO] K64 P8 C32 - L2[WI] N1 - L1[O] K2 C2 P16 - L0[W] N1,256,1,16,512,512,32,16,32,16,2,2,2,131072,8192,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,128,1,128,1,1,1,1,1
155648,74.538252,11.60173,0.708209,L3[WIO] P64 C4 K2 - L2[WI] N1 - L1[O] K64 C2 P2 C8X - L0[W] N1,256,1,16,512,512,32,16,32,16,2,2,2,131072,8192,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,128,1,128,1,1,1,1,1
